Date,Close,Volume,Open,High,Low
11/12/2025,$144.39 ,5790488,$144.56 ,$145.50 ,$144.06 
11/11/2025,$145.08 ,7683573,$143.28 ,$145.76 ,$142.68 
11/10/2025,$142.62 ,6617494,$142.49 ,$143.02 ,$141.26 
11/7/2025,$142.95 ,7592652,$142.93 ,$144.05 ,$141.65 
11/6/2025,$141.58 ,6449386,$142.41 ,$143.21 ,$141.30 
11/5/2025,$142.86 ,7136424,$142.90 ,$143.28 ,$141.58 
11/4/2025,$142.90 ,8302941,$144.70 ,$144.93 ,$142.06 
11/3/2025,$143.60 ,8331545,$145.86 ,$145.91 ,$143.25 
10/31/2025,$146.09 ,6313592,$146.20 ,$147.00 ,$145.30 
10/30/2025,$147.55 ,5752708,$146.34 ,$148.09 ,$146.25 
10/29/2025,$146.16 ,7767556,$148.05 ,$148.66 ,$143.67 
10/28/2025,$150.12 ,5626528,$151.41 ,$153.21 ,$149.92 
10/27/2025,$152.63 ,4744578,$151.01 ,$152.87 ,$150.96 
10/24/2025,$151.55 ,3580182,$152.04 ,$152.42 ,$151.27 
10/23/2025,$151.51 ,6091762,$153.17 ,$153.40 ,$151.03 
10/22/2025,$153.03 ,6485959,$153.15 ,$155.18 ,$152.71 
10/21/2025,$153.18 ,5614266,$154.70 ,$155.19 ,$152.84 
10/20/2025,$153.64 ,4810592,$154.42 ,$154.42 ,$152.72 
10/17/2025,$153.71 ,6710141,$153.77 ,$153.91 ,$151.74 
10/16/2025,$152.67 ,8532889,$152.38 ,$154.38 ,$152.29 
10/15/2025,$151.16 ,6101096,$151.33 ,$152.39 ,$149.17 
10/14/2025,$151.54 ,8371136,$148.69 ,$151.62 ,$148.50 
10/13/2025,$148.89 ,7271983,$148.65 ,$149.98 ,$147.34 
10/10/2025,$150.08 ,17545160,$145.63 ,$150.82 ,$145.00 
10/9/2025,$144.71 ,13706630,$140.46 ,$144.74 ,$138.59 
10/8/2025,$138.84 ,8256741,$140.79 ,$140.98 ,$138.69 
10/7/2025,$140.79 ,6110309,$140.37 ,$141.84 ,$139.69 
10/6/2025,$139.70 ,6750712,$141.77 ,$141.85 ,$138.88 
10/3/2025,$141.98 ,5425725,$142.27 ,$143.36 ,$141.86 
10/2/2025,$142.31 ,4497315,$141.89 ,$143.25 ,$141.37 
10/1/2025,$143.14 ,5880796,$140.81 ,$143.37 ,$140.48 
9/30/2025,$140.44 ,7583411,$140.17 ,$141.03 ,$139.83 
9/29/2025,$140.17 ,11930250,$140.44 ,$140.67 ,$139.12 
9/26/2025,$140.44 ,6224693,$139.94 ,$140.99 ,$139.85 
9/25/2025,$139.92 ,7101666,$143.00 ,$143.42 ,$139.86 
9/24/2025,$142.17 ,5949145,$141.81 ,$142.34 ,$141.02 
9/23/2025,$141.90 ,6356489,$141.04 ,$142.23 ,$139.96 
9/22/2025,$141.03 ,5797558,$141.08 ,$141.52 ,$139.94 
9/19/2025,$141.76 ,12365530,$141.46 ,$142.08 ,$140.46 
9/18/2025,$140.73 ,6106557,$140.64 ,$141.63 ,$140.39 
9/17/2025,$141.23 ,6092884,$140.17 ,$142.05 ,$140.15 
9/16/2025,$140.03 ,9283480,$140.69 ,$141.31 ,$139.91 
9/15/2025,$140.64 ,7279639,$143.40 ,$143.53 ,$140.53 
9/12/2025,$143.53 ,5714114,$144.07 ,$144.25 ,$142.90 
9/11/2025,$144.23 ,6144363,$142.89 ,$144.75 ,$142.50 
9/10/2025,$142.66 ,6015122,$142.23 ,$143.11 ,$141.42 
9/9/2025,$143.10 ,5866442,$141.18 ,$143.63 ,$141.10 
9/8/2025,$141.71 ,11127620,$145.72 ,$145.72 ,$140.35 
9/5/2025,$146.39 ,7186260,$146.00 ,$147.88 ,$145.28 
9/4/2025,$146.89 ,6342232,$149.02 ,$149.47 ,$146.45 
9/3/2025,$148.64 ,11259200,$149.95 ,$150.46 ,$147.11 
9/2/2025,$150.28 ,17348610,$157.44 ,$157.80 ,$150.21 
8/29/2025,$148.65 ,7760710,$147.10 ,$149.22 ,$146.87 
8/28/2025,$146.98 ,9265077,$147.96 ,$148.04 ,$146.23 
8/27/2025,$147.64 ,8092909,$147.00 ,$147.79 ,$146.31 
8/26/2025,$147.00 ,11208150,$147.50 ,$148.25 ,$145.81 
8/25/2025,$148.20 ,6624298,$148.43 ,$148.82 ,$147.58 
8/22/2025,$149.64 ,5218019,$149.65 ,$151.18 ,$149.09 
8/21/2025,$148.98 ,8153618,$150.33 ,$150.33 ,$148.60 
8/20/2025,$150.73 ,10023470,$153.21 ,$154.61 ,$148.69 
8/19/2025,$152.16 ,8596943,$150.00 ,$152.33 ,$149.86 
8/18/2025,$149.55 ,9900999,$150.55 ,$150.55 ,$148.92 
8/15/2025,$150.40 ,9162178,$149.39 ,$151.10 ,$148.49 
8/14/2025,$148.62 ,6892466,$149.04 ,$149.50 ,$148.05 
8/13/2025,$149.35 ,6147005,$146.89 ,$149.54 ,$146.85 
8/12/2025,$146.87 ,7670149,$145.55 ,$147.01 ,$144.72 
8/11/2025,$144.87 ,5773384,$145.32 ,$145.60 ,$143.75 
8/8/2025,$145.21 ,5315087,$143.92 ,$145.37 ,$143.80 
8/7/2025,$143.92 ,7674642,$141.24 ,$144.31 ,$140.48 
8/6/2025,$140.80 ,6747448,$139.90 ,$141.58 ,$139.36 
8/5/2025,$139.45 ,5535084,$139.60 ,$140.35 ,$139.26 
8/4/2025,$139.56 ,8384672,$139.29 ,$140.32 ,$138.75 
8/1/2025,$139.28 ,7630810,$139.11 ,$139.81 ,$138.29 
7/31/2025,$137.92 ,11689670,$140.98 ,$141.57 ,$137.64 
7/30/2025,$142.86 ,9738383,$143.77 ,$144.40 ,$142.29 
7/29/2025,$143.89 ,6282944,$141.57 ,$143.99 ,$141.13 
7/28/2025,$141.57 ,10639130,$142.70 ,$143.10 ,$141.46 
7/25/2025,$143.45 ,7021594,$144.81 ,$144.82 ,$142.70 
7/24/2025,$144.51 ,9749426,$145.82 ,$146.47 ,$143.98 
7/23/2025,$145.66 ,6165951,$145.86 ,$147.03 ,$145.09 
7/22/2025,$146.04 ,8281528,$141.23 ,$146.40 ,$141.23 
7/21/2025,$141.70 ,9025630,$143.11 ,$143.59 ,$140.46 
7/18/2025,$143.24 ,13752830,$146.27 ,$146.35 ,$142.94 
7/17/2025,$145.44 ,26161000,$141.70 ,$145.96 ,$141.64 
7/16/2025,$135.35 ,10941630,$133.95 ,$135.51 ,$133.75 
7/15/2025,$133.81 ,8933520,$135.43 ,$135.51 ,$133.75 
7/14/2025,$135.57 ,8480302,$134.75 ,$135.88 ,$133.86 
7/11/2025,$135.26 ,7963646,$134.84 ,$135.39 ,$133.81 
7/10/2025,$136.08 ,8870905,$134.43 ,$136.68 ,$133.63 
7/9/2025,$134.48 ,7762618,$134.90 ,$135.38 ,$132.96 
7/8/2025,$135.04 ,7718265,$133.41 ,$135.67 ,$133.28 
7/7/2025,$134.45 ,7773744,$135.53 ,$135.72 ,$133.68 
7/3/2025,$135.38 ,4941378,$136.70 ,$136.83 ,$135.24 
7/2/2025,$136.48 ,9388667,$135.25 ,$137.00 ,$134.88 
7/1/2025,$135.26 ,12846690,$132.59 ,$136.39 ,$132.47 
6/30/2025,$132.04 ,11402440,$131.20 ,$132.36 ,$130.59 
6/27/2025,$131.04 ,26536480,$128.29 ,$131.34 ,$128.11 
6/26/2025,$128.22 ,11538070,$127.71 ,$129.16 ,$127.60 
6/25/2025,$128.02 ,10922570,$130.26 ,$130.59 ,$127.63 
6/24/2025,$131.05 ,9226773,$129.14 ,$131.21 ,$129.05 
6/23/2025,$129.09 ,12840360,$129.29 ,$129.50 ,$127.82 
6/20/2025,$129.07 ,23000970,$129.53 ,$130.42 ,$128.90 
6/18/2025,$129.07 ,8785766,$129.63 ,$129.68 ,$128.59 
6/17/2025,$129.29 ,10235230,$131.16 ,$131.69 ,$129.13 
6/16/2025,$131.41 ,11183690,$131.31 ,$132.09 ,$130.23 
6/13/2025,$130.85 ,9581034,$131.76 ,$133.06 ,$130.59 
6/12/2025,$132.30 ,11444910,$129.89 ,$132.33 ,$129.71 
6/11/2025,$129.90 ,9168356,$131.94 ,$131.97 ,$129.79 
6/10/2025,$131.83 ,11852870,$130.20 ,$132.12 ,$129.46 
6/9/2025,$129.96 ,8453146,$129.83 ,$130.65 ,$129.18 
6/6/2025,$130.03 ,7628224,$130.25 ,$130.67 ,$129.34 
6/5/2025,$131.11 ,9566619,$131.20 ,$131.41 ,$130.21 
6/4/2025,$131.74 ,6519728,$132.24 ,$132.74 ,$131.10 
6/3/2025,$131.85 ,7339524,$130.63 ,$132.21 ,$129.81 
6/2/2025,$130.91 ,6723720,$130.90 ,$131.03 ,$129.07 
5/30/2025,$131.45 ,12992080,$132.15 ,$132.72 ,$131.29 
5/29/2025,$131.92 ,6659069,$130.86 ,$132.07 ,$130.25 
5/28/2025,$130.67 ,9431450,$131.29 ,$132.19 ,$130.47 
5/27/2025,$131.37 ,13974760,$130.08 ,$131.46 ,$129.13 
5/23/2025,$129.34 ,8122494,$129.56 ,$129.76 ,$127.75 
5/22/2025,$130.12 ,7140231,$130.02 ,$130.70 ,$128.82 
5/21/2025,$130.15 ,9243724,$131.80 ,$131.90 ,$130.06 
5/20/2025,$131.80 ,7624244,$131.75 ,$132.17 ,$131.35 
5/19/2025,$131.79 ,9406194,$132.13 ,$132.26 ,$131.11 
5/16/2025,$131.98 ,8896370,$132.09 ,$132.26 ,$130.65 
5/15/2025,$131.50 ,9165089,$129.19 ,$131.55 ,$128.81 
5/14/2025,$128.45 ,10463020,$130.07 ,$130.17 ,$127.87 
